iter	MultiClass
0	0.9847121477
1	0.9032440153
2	0.8350821378
3	0.7783866214
4	0.7283226979
5	0.6827472861
6	0.6420191323
7	0.6040386756
8	0.5757567626
9	0.5491969301
10	0.5188110872
11	0.4973571724
12	0.4795196202
13	0.4584199498
14	0.4426483932
15	0.4278440804
16	0.4133336725
17	0.4025725006
18	0.390382677
19	0.3797338503
20	0.3689250225
21	0.3586344569
22	0.3493071552
23	0.3419134548
24	0.3348476493
25	0.3274587639
26	0.3190400906
27	0.3167789115
28	0.3144106761
29	0.3099159367
30	0.3065005856
31	0.3023454894
32	0.2990881989
33	0.2964553623
34	0.292555937
35	0.2892489696
36	0.2870664502
37	0.2845437142
38	0.2809993696
39	0.2769614838
40	0.2733528122
41	0.2702858864
42	0.2678528535
43	0.2645259857
44	0.2623462205
45	0.2584997905
46	0.2570980359
47	0.2554435079
48	0.2533834795
49	0.2517307605
50	0.2493635361
51	0.2456675619
52	0.2435736374
53	0.2423358455
54	0.2408574195
55	0.238026684
56	0.2359307868
57	0.2342730449
58	0.23221906
59	0.2301863187
60	0.2281285539
61	0.2267908769
62	0.224697163
63	0.2229983496
64	0.2211669222
65	0.2202028645
66	0.2188454566
67	0.2178909958
68	0.2162951886
69	0.2147301204
70	0.2136913923
71	0.2113564553
72	0.2096322481
73	0.2078868666
74	0.2065688268
75	0.2057104137
76	0.2041465568
77	0.2029044399
78	0.2016577836
79	0.1997873987
80	0.1981765895
81	0.1971815583
82	0.1962516505
83	0.1952175859
84	0.1945337777
85	0.1934643463
86	0.1918747484
87	0.1901738737
88	0.1885905912
89	0.1870978711
90	0.1862362179
91	0.1847888524
92	0.1839608391
93	0.1825167665
94	0.1813440924
95	0.1807072253
96	0.1797132178
97	0.1784201242
98	0.1772287376
99	0.1756307756
