iter	Passed	Remaining
0	47	4662
1	85	4179
2	124	4017
3	161	3869
4	195	3717
5	231	3627
6	269	3580
7	303	3492
8	343	3476
9	383	3453
10	420	3404
11	459	3368
12	498	3337
13	538	3307
14	579	3283
15	615	3230
16	653	3192
17	690	3143
18	730	3114
19	767	3071
20	807	3038
21	854	3028
22	897	3004
23	937	2969
24	974	2922
25	1013	2883
26	1050	2839
27	1088	2798
28	1125	2754
29	1161	2710
30	1201	2674
31	1240	2635
32	1278	2596
33	1314	2552
34	1350	2508
35	1385	2463
36	1419	2416
37	1454	2373
38	1488	2327
39	1524	2286
40	1558	2242
41	1593	2200
42	1628	2158
43	1662	2115
44	1697	2074
45	1731	2032
46	1765	1991
47	1803	1953
48	1838	1913
49	1873	1873
50	1908	1833
51	1941	1792
52	1975	1751
53	2010	1712
54	2045	1673
55	2079	1633
56	2112	1593
57	2149	1556
58	2183	1517
59	2219	1479
60	2254	1441
61	2291	1404
62	2327	1367
63	2362	1329
64	2397	1290
65	2436	1255
66	2472	1217
67	2509	1180
68	2548	1145
69	2584	1107
70	2622	1071
71	2659	1034
72	2696	997
73	2731	959
74	2767	922
75	2805	885
76	2840	848
77	2875	811
78	2909	773
79	2945	736
80	2979	698
81	3015	662
82	3053	625
83	3088	588
84	3124	551
85	3158	514
86	3195	477
87	3232	440
88	3271	404
89	3308	367
90	3344	330
91	3382	294
92	3416	257
93	3450	220
94	3483	183
95	3516	146
96	3550	109
97	3586	73
98	3623	36
99	3658	0
